"AWARD
 YEAR","PROJECT NAME","PROGRAM
NUMBER","STATE PROJECT
NUMBER","FEDERAL PROJECT 
NUMBER","PROJECT
TYPE","COUNTY","AWARD","SUPPLEMENTALS","DESIGN
AUTHORIZATION","5G or OCC","CONSULTANT","DESIGN NOTICE
TO PROCEED","SCOPE OF
WORK","30% PLANS
RECEIVED","PRELIMINARY
FIELD REVIEW","90% PLANS
RECEIVED","FINAL
FIELD REVIEW","NEPA 
COMPLETE","PS&E
SUBMITTED","CONSTRUCTION
AUTHORIZATION","CONSTRUCTION
NOTICE TO PROCEED","CONSTRUCTION
COMPLETION DATE","PROJECT COMPLETION
PERCENTAGE","STATUS UPDATE","PROJECT
COMPLETE?","PROJECT
MANAGER","",""
"2013","Putnam County Parks Trail Extension","2015000224","U340-VAL/LE-3. 00","NRT-2014(122)D","RT","Putnam","$24,500.00","","","","","5/17/21","","","","","","","","","","","90%"," Changing SOW for culvert purchases once Sponsor finds an engineer. Gravel Trail has slid into creek, wanting to put in culverts to fix issue. Sponsor unresponsive in previous attempts to contact. ","No","Oliver","",""
"2014","Shinnston Rail Trail Restoration","2015000664","U317-SHI/NN-7. 00","TEA-2014(233)D","TA","Harrison","$208,406.00","$13,663.68","","","","","","","","","","","","","","","60%"," Project awarded, currently awaiting change orders before construction ","No","Oliver","",""
"2015","Logan Sidewalk Main Street","2016000780","U323-LOG/AN-4. 00","TAP-2015(265)D","TA","Logan","$284,640.00","$0.00","10/13/16","","ELR","","","","","","","","","","","","95%"," Design complete.  Construction awarded.  Schedule Final Inspection, then submit closure request. ","No","Oliver","",""
"2015","Winfield Downtown Streetscape Phase I","2016000775","U340-WIN/FI-2. 00","TAP-2015(256)D","TA","Putnam","$391,800.00","$0.00","","","","","","","","","","","","","","","90%"," Changing scope. Likely run conduit and electrical. PFR held.  Design work extended TCE issues. ","No","Oliver","",""
"2016","Berkeley Springs State Park Improvements","","U333-BER/SP-1. 00"," TAP-2017(080)DTC
TAP-2018(240)D ","TA","Morgan","$38,400.00","$0.00","","","","","","","","","","","","","","","99%"," Project billing halted due to contractor bankruptcy. Bonding Company hiring contractor to make punchlist so remaining funding can be used. 9/11 ","No","Oliver","",""
"2017","Charles Town Augustine Avenue","2018001095","U319-CHA/RL-2. 00"," TAP-2017(186)D  ","TA","Jefferson","$120,000.00","$0.00","","","","","","","","","","","","","","","99%"," Phase I under construction ","No","Oliver","",""
"2018","Berkeley Springs State Parks Improvements","","U333-BER/SP-1. 00"," TAP-2017(080)DTC 
 TAP-2018(240)D ","TA","Morgan","$300,800.00","$142,360.17","","","","","","","","","","","","","","","99%"," Project billing halted due to contractor bankruptcy. Bonding Company hiring contractor to make punchlist so remaining funding can be used. 9/11 ","No","Oliver","",""
"2018","Fairmont Safe Routes to School- Traffic Calming","2019000755","U325-FAI/RM-9. 00"," SRTS-2018(260)DTC 
 SRTS-2018(261)D","TA","Marion","$42,267.00","$0.00","","","","","","","","","","","","","","","50%"," Sponsor has made purchases and currently submitting invoices ","No","Oliver","",""
"2018","Hamlin Sidewalk Connector to Lincoln County HS","2019001379","U322-HAM/LI-1. 02","TAP-2018(278)DTC","TA","Lincoln","$100,000.00","$0.00","","","","","","","","","","","","","","","75%"," New project #s acquired for construction agreement. Agreement to be processed soon ","No","Oliver","",""
"2018","Loudoun Heights A.T. Relocation","2019000702","U319-LOU/DO-1. 00","NRT-2018-241-D","RT","Jefferson","$40,000.00","$0.00","","","","","","","","","","","","","","","99%"," Project complete, sponsor looking to spend remaining funds.  Sponsor has not decided yet.  Need to get a solid SOW to spend remaining funds. Sponsor unresponsive in previous attempts to contact. ","No","Oliver","",""
